seed,fold,model,acc,macro_f1,event_f1,event_prec,event_rec
4,4,abl_char_tb_bk,0.7556719022687609,0.6946386634996753,0.8421052631578947,0.8636363636363636,0.8216216216216217
5,0,base_majority,0.3205574912891986,0.0970976253298153,0.48548812664907653,0.3205574912891986,1.0
5,0,base_random,0.2038327526132404,0.18687381794437402,0.21379310344827587,0.29245283018867924,0.16847826086956522
5,0,base_keyword,0.30139372822299654,0.16141091219096335,0.46195652173913043,0.46195652173913043,0.46195652173913043
5,0,proposed_char_tb,0.7752613240418118,0.7282704219469387,0.8776595744680851,0.859375,0.8967391304347826
5,0,proposed@산업,0.855,0.7662419485930718,0.9162011173184358,,
5,0,proposed@안보,0.7010869565217391,0.6705558439942914,0.6470588235294118,,
5,0,proposed@비CBRN,0.7631578947368421,0.6861785553581814,0.8834355828220859,,
5,0,abl_char_title,0.7439024390243902,0.6532820148713949,0.868421052631579,0.8418367346938775,0.8967391304347826
5,0,abl_word_tb,0.759581881533101,0.681361332216171,0.8675324675324675,0.8308457711442786,0.907608695652174
5,0,abl_char_tb_bk,0.7578397212543554,0.7240173501859101,0.8556149732620321,0.8421052631578947,0.8695652173913043
5,1,base_majority,0.3205574912891986,0.0970976253298153,0.48548812664907653,0.3205574912891986,1.0
5,1,base_random,0.21254355400696864,0.19661997288878014,0.22456140350877193,0.31683168316831684,0.17391304347826086
5,1,base_keyword,0.3327526132404181,0.1779812734675771,0.5196850393700787,0.5025380710659898,0.5380434782608695
5,1,proposed_char_tb,0.7735191637630662,0.7171634260791062,0.8586666666666667,0.8429319371727748,0.875
5,1,proposed@산업,0.8578431372549019,0.771294343240652,0.9333333333333333,,
5,1,proposed@안보,0.7175141242937854,0.6322606136936546,0.5555555555555556,,
5,1,proposed@비CBRN,0.7357512953367875,0.6655534591194969,0.8427672955974843,,
5,1,abl_char_title,0.7317073170731707,0.6911521828730965,0.8206521739130435,0.8206521739130435,0.8206521739130435
5,1,abl_word_tb,0.7578397212543554,0.7022312238831886,0.8647214854111406,0.844559585492228,0.8858695652173914
5,1,abl_char_tb_bk,0.7560975609756098,0.6940574675868794,0.8556149732620321,0.8421052631578947,0.8695652173913043
5,2,base_majority,0.32111692844677137,0.09722589167767504,0.4861294583883752,0.32111692844677137,1.0
5,2,base_random,0.18848167539267016,0.17090977013322425,0.23208191126279865,0.3119266055045872,0.18478260869565216
5,2,base_keyword,0.32809773123909247,0.17558075338684334,0.5106382978723404,0.5,0.5217391304347826
5,2,proposed_char_tb,0.7696335078534031,0.6778539689360421,0.8555858310626703,0.8579234972677595,0.8532608695652174
5,2,proposed@산업,0.8369565217391305,0.7230152774055213,0.9024390243902439,,
5,2,proposed@안보,0.6797752808988764,0.6044576762851971,0.4,,
5,2,proposed@비CBRN,0.7867298578199052,0.6460435122221381,0.8764044943820225,,
5,2,abl_char_title,0.7050610820244329,0.6189471847225858,0.8154269972451791,0.8268156424581006,0.8043478260869565
5,2,abl_word_tb,0.731239092495637,0.6301968090472861,0.8540540540540541,0.8494623655913979,0.8586956521739131
5,2,abl_char_tb_bk,0.7574171029668412,0.6529867745126154,0.8626373626373627,0.8722222222222222,0.8532608695652174
5,3,base_majority,0.3228621291448517,0.09762532981530343,0.48812664907651715,0.3228621291448517,1.0
5,3,base_random,0.19546247818499127,0.17358016868945905,0.23208191126279865,0.3148148148148148,0.1837837837837838
5,3,base_keyword,0.3368237347294939,0.18061106769379628,0.5283018867924528,0.5268817204301075,0.5297297297297298
5,3,proposed_char_tb,0.7696335078534031,0.7332959528370694,0.8548387096774194,0.8502673796791443,0.8594594594594595
5,3,proposed@산업,0.8315217391304348,0.7672171320140959,0.8823529411764706,,
5,3,proposed@안보,0.6972972972972973,0.6053826417670811,0.5,,
